source_intersection,dest_intersection,intersection_topology,zone_type,time_of_day,day_of_week,weather_severity,road_friction,elevation_gradient,speed_limit,congestion_raw,traffic_volume_10hr,avg_speed_10hr,accident_occurred
2,21,Roundabout,Residential,Evening_Rush,Weekend,4.64,0.9,-7.1,60,63.56,"[191, 166, 220, 269, 213, 232, 356, 157, 212, 344]","[53.8, 50.5, 59.8, 54.3, 52.3, 55.0, 50.7, 48.9, 53.4, 48.9]",0
15,18,Roundabout,Commercial,Late_Night,Weekday,8.03,0.44,-4.3,30,60.22,"[601, 635, 685, 712, 559, 649, 649, 632, 552, 497]","[31.0, 23.9, 24.1, 16.9, 16.7, 14.9, 16.2, 12.7, 7.6, 7.5]",1
7,30,4-Way,Residential,Evening_Rush,Weekday,3.59,0.68,1.0,45,54.0,"[294, 241, 180, 239, 245, 188, 268, 263, 272, 263]","[44.1, 39.6, 41.5, 38.5, 37.6, 47.2, 30.3, 44.9, 37.4, 36.7]",0
44,19,4-Way,Commercial,Morning_Rush,Weekend,4.19,0.42,1.6,45,96.13,"[626, 451, 518, 515, 577, 519, 760, 779, 397, 654]","[46.7, 42.1, 35.7, 32.5, 27.5, 24.2, 18.6, 16.8, 10.0, 8.6]",1
4,23,Highway-Exit,Industrial,Evening_Rush,Weekend,7.21,0.59,0.7,75,80.97,"[475, 620, 532, 629, 708, 758, 347, 516, 569, 646]","[71.7, 66.4, 61.9, 55.2, 49.1, 42.6, 35.7, 28.7, 21.8, 16.3]",1
37,31,Roundabout,Residential,Late_Night,Weekday,6.36,0.29,-1.5,75,83.31,"[376, 754, 379, 492, 577, 667, 300, 597, 679, 699]","[73.6, 67.7, 60.4, 54.2, 46.3, 39.9, 35.9, 28.6, 22.6, 15.4]",1
34,8,4-Way,Residential,Midday,Weekday,7.27,0.9,4.7,75,26.81,"[285, 293, 162, 207, 238, 248, 216, 295, 348, 259]","[67.9, 71.7, 58.2, 67.6, 72.4, 64.3, 61.4, 66.6, 67.2, 63.0]",0
7,18,Highway-Exit,Commercial,Late_Night,Weekday,3.56,0.82,0.3,60,43.41,"[354, 226, 192, 245, 295, 250, 274, 206, 324, 278]","[59.2, 55.8, 58.1, 49.6, 51.5, 60.7, 61.8, 48.3, 55.2, 51.8]",0
35,22,4-Way,Residential,Midday,Weekday,7.41,0.44,3.5,30,98.25,"[530, 628, 714, 645, 568, 651, 564, 641, 739, 392]","[31.6, 24.3, 27.1, 20.7, 16.9, 18.1, 14.7, 9.3, 6.2, 5.6]",1
24,24,Roundabout,Commercial,Morning_Rush,Weekday,1.74,0.88,-8.9,45,54.1,"[189, 196, 255, 201, 271, 324, 242, 256, 350, 190]","[46.5, 45.9, 44.8, 47.0, 41.9, 37.6, 46.0, 46.2, 46.0, 40.7]",0
48,32,Roundabout,Commercial,Evening_Rush,Weekday,2.94,0.76,-19.6,45,44.71,"[214, 259, 297, 301, 228, 265, 184, 299, 210, 289]","[34.8, 45.7, 42.1, 36.6, 44.0, 37.5, 44.2, 39.1, 31.9, 35.6]",0
7,48,Roundabout,Commercial,Midday,Weekday,3.07,0.96,1.4,60,41.13,"[228, 318, 295, 331, 332, 223, 240, 229, 216, 157]","[53.9, 47.6, 53.8, 64.6, 51.5, 55.0, 58.5, 55.4, 55.5, 52.2]",0
20,45,4-Way,Residential,Late_Night,Weekday,8.4,0.24,-7.1,45,100.0,"[576, 503, 684, 425, 697, 459, 696, 564, 476, 657]","[46.9, 40.1, 38.4, 28.4, 26.4, 27.6, 20.6, 13.3, 11.6, 7.2]",1
45,43,T-Junction,Commercial,Midday,Weekday,0.66,0.87,-1.1,45,53.25,"[241, 231, 258, 246, 317, 271, 272, 308, 230, 186]","[46.5, 41.2, 41.2, 37.3, 37.4, 44.7, 45.4, 44.4, 44.5, 43.3]",0
8,1,T-Junction,Commercial,Midday,Weekend,0.81,0.94,-1.5,30,26.19,"[256, 241, 310, 231, 268, 209, 217, 238, 209, 289]","[20.3, 27.5, 27.7, 17.9, 24.8, 28.3, 29.1, 26.0, 30.4, 26.5]",0
31,2,T-Junction,Industrial,Evening_Rush,Weekday,4.64,0.66,7.9,75,38.28,"[250, 262, 296, 216, 225, 216, 233, 321, 278, 193]","[64.5, 69.4, 63.0, 63.9, 74.2, 64.4, 72.3, 73.8, 63.8, 63.1]",0
43,27,Roundabout,Commercial,Midday,Weekday,4.74,0.77,2.0,75,38.48,"[236, 195, 256, 239, 268, 319, 290, 274, 151, 272]","[76.1, 52.4, 70.9, 66.7, 63.3, 71.5, 76.0, 71.4, 65.6, 62.8]",0
12,36,Highway-Exit,Residential,Late_Night,Weekend,6.29,0.1,0.8,60,83.87,"[614, 687, 561, 570, 882, 707, 715, 453, 529, 607]","[58.0, 57.9, 52.2, 42.9, 42.2, 33.3, 33.2, 23.0, 18.5, 14.8]",1
22,34,Roundabout,Commercial,Midday,Weekday,4.65,0.92,4.2,75,90.49,"[313, 275, 242, 275, 209, 257, 194, 160, 252, 313]","[72.1, 67.1, 76.2, 64.7, 57.9, 56.6, 61.6, 71.6, 64.3, 69.8]",0
7,13,T-Junction,Commercial,Morning_Rush,Weekend,2.67,0.78,1.8,75,47.42,"[332, 194, 273, 276, 206, 317, 235, 230, 355, 276]","[72.1, 74.3, 64.2, 73.7, 65.0, 64.8, 66.1, 64.4, 71.6, 68.8]",0
34,23,4-Way,Residential,Evening_Rush,Weekend,4.53,0.22,-2.3,60,73.14,"[550, 667, 572, 567, 604, 646, 638, 563, 684, 577]","[58.7, 51.7, 51.3, 44.0, 39.1, 35.4, 27.0, 19.9, 17.5, 12.6]",1
27,49,Roundabout,Commercial,Midday,Weekday,3.02,0.9,5.4,60,29.14,"[236, 323, 125, 306, 289, 272, 83, 314, 198, 224]","[53.1, 56.0, 57.2, 58.5, 58.1, 55.3, 56.1, 48.5, 50.2, 58.5]",0
14,36,Roundabout,Commercial,Midday,Weekend,3.12,0.92,-5.5,75,1.35,"[291, 286, 224, 295, 191, 303, 236, 334, 173, 338]","[65.7, 65.6, 68.5, 64.0, 67.1, 63.8, 64.0, 69.9, 63.0, 63.7]",0
28,2,Roundabout,Residential,Midday,Weekday,2.47,0.68,1.6,30,33.4,"[181, 224, 315, 207, 213, 259, 231, 361, 241, 266]","[31.7, 31.6, 28.2, 26.2, 37.1, 26.5, 24.8, 23.8, 18.4, 31.1]",0
3,22,4-Way,Residential,Evening_Rush,Weekday,4.37,0.68,-7.7,60,0.25,"[132, 249, 239, 361, 158, 204, 243, 240, 222, 245]","[47.7, 55.8, 42.4, 53.9, 51.0, 59.1, 62.8, 52.3, 61.0, 52.4]",0
33,33,Roundabout,Residential,Midday,Weekday,2.16,0.82,1.0,45,22.57,"[201, 337, 276, 250, 284, 263, 246, 183, 236, 281]","[39.9, 45.0, 42.4, 36.1, 33.9, 39.7, 37.9, 42.2, 36.9, 37.4]",0
36,8,Highway-Exit,Commercial,Evening_Rush,Weekday,6.79,0.32,1.0,60,81.38,"[705, 614, 529, 601, 737, 629, 659, 524, 702, 831]","[58.4, 52.3, 49.7, 45.8, 38.5, 31.2, 27.8, 23.9, 16.5, 13.2]",1
23,17,Highway-Exit,Commercial,Late_Night,Weekend,10.0,0.17,8.4,45,86.79,"[716, 624, 597, 682, 514, 504, 573, 550, 519, 783]","[49.3, 40.3, 37.2, 32.6, 31.2, 27.6, 17.4, 18.0, 10.4, 12.5]",1
20,1,Highway-Exit,Residential,Morning_Rush,Weekday,3.51,0.29,-7.8,60,51.24,"[644, 517, 575, 571, 652, 704, 485, 783, 760, 512]","[60.1, 58.1, 51.8, 43.3, 40.3, 39.3, 28.2, 21.4, 17.7, 12.5]",1
1,21,4-Way,Residential,Evening_Rush,Weekday,7.19,0.53,-3.0,60,80.5,"[547, 644, 474, 533, 675, 424, 690, 398, 426, 550]","[60.6, 57.3, 49.4, 43.5, 39.8, 31.6, 28.3, 20.3, 17.5, 11.7]",1
6,34,Highway-Exit,Industrial,Midday,Weekday,2.82,0.59,4.1,75,37.91,"[209, 258, 257, 308, 169, 246, 211, 293, 287, 275]","[64.0, 71.9, 59.8, 58.8, 61.1, 67.3, 70.9, 52.6, 74.1, 68.2]",0
10,30,Roundabout,Industrial,Midday,Weekday,2.09,0.76,1.7,75,12.11,"[171, 255, 304, 279, 304, 181, 229, 203, 335, 281]","[81.7, 65.2, 63.9, 66.8, 74.4, 65.7, 68.1, 68.0, 67.7, 64.2]",0
11,25,4-Way,Industrial,Evening_Rush,Weekday,7.59,0.11,0.9,75,80.34,"[586, 581, 599, 694, 776, 515, 560, 517, 618, 546]","[75.5, 70.5, 56.6, 56.0, 47.4, 42.6, 33.2, 30.7, 23.5, 16.1]",1
3,49,Roundabout,Commercial,Midday,Weekday,1.79,0.77,-4.8,30,78.44,"[289, 212, 219, 287, 211, 322, 233, 275, 354, 214]","[27.3, 32.3, 31.8, 25.4, 24.4, 25.8, 34.2, 25.6, 27.4, 24.9]",0
34,13,Roundabout,Commercial,Late_Night,Weekend,2.6,0.68,-3.0,75,48.18,"[285, 257, 199, 201, 150, 208, 289, 316, 284, 277]","[66.9, 71.4, 68.9, 76.5, 67.0, 74.2, 71.9, 71.2, 57.4, 72.1]",0
39,44,T-Junction,Residential,Midday,Weekday,6.79,0.54,6.2,75,90.48,"[587, 555, 451, 599, 603, 469, 452, 648, 687, 619]","[77.3, 68.2, 61.6, 53.2, 45.2, 45.4, 37.3, 25.5, 22.0, 14.8]",1
25,47,Roundabout,Commercial,Morning_Rush,Weekend,10.0,0.03,-0.3,60,93.25,"[572, 559, 638, 681, 640, 587, 584, 693, 646, 607]","[59.9, 55.4, 48.4, 45.6, 36.5, 32.5, 29.2, 20.4, 14.2, 12.1]",1
17,27,T-Junction,Commercial,Midday,Weekday,6.14,0.89,1.9,60,21.84,"[165, 185, 287, 239, 314, 189, 245, 269, 191, 301]","[56.6, 46.0, 53.8, 55.9, 51.0, 46.6, 55.4, 65.1, 52.1, 61.8]",0
36,10,T-Junction,Industrial,Morning_Rush,Weekend,2.44,0.93,-0.6,30,49.06,"[212, 260, 288, 249, 235, 286, 344, 265, 224, 240]","[39.6, 27.7, 24.0, 21.3, 17.9, 28.8, 30.3, 25.0, 26.9, 21.1]",0
15,31,4-Way,Industrial,Evening_Rush,Weekend,5.46,0.92,-5.9,45,61.46,"[256, 274, 223, 334, 208, 264, 292, 246, 240, 178]","[47.3, 39.7, 43.2, 43.9, 37.4, 39.5, 47.2, 34.9, 51.1, 36.8]",0
11,20,4-Way,Commercial,Midday,Weekday,1.1,0.72,4.7,60,45.22,"[191, 256, 360, 154, 242, 273, 251, 269, 214, 220]","[53.3, 48.4, 53.8, 52.1, 51.6, 55.6, 44.9, 52.9, 65.6, 48.6]",0
40,22,T-Junction,Commercial,Evening_Rush,Weekday,1.19,0.68,2.5,60,56.0,"[314, 252, 219, 183, 256, 322, 230, 245, 300, 267]","[46.1, 54.5, 61.6, 53.8, 40.3, 55.9, 53.0, 44.9, 45.6, 58.9]",0
39,23,Highway-Exit,Commercial,Late_Night,Weekend,0.0,0.85,11.5,45,54.15,"[213, 204, 248, 217, 255, 239, 190, 224, 272, 252]","[40.1, 50.2, 44.2, 44.8, 39.7, 41.6, 38.3, 44.4, 39.9, 41.6]",0
36,11,T-Junction,Industrial,Morning_Rush,Weekday,6.35,0.86,-5.1,30,50.13,"[258, 249, 396, 216, 216, 284, 220, 235, 195, 274]","[29.5, 25.4, 30.6, 17.7, 23.5, 26.2, 21.1, 18.3, 25.5, 30.5]",0
18,2,T-Junction,Industrial,Morning_Rush,Weekend,1.27,0.84,4.1,60,26.83,"[314, 222, 286, 281, 310, 232, 160, 253, 199, 213]","[52.5, 52.3, 54.7, 57.5, 52.2, 56.0, 54.1, 58.7, 53.1, 53.6]",0
14,5,4-Way,Commercial,Evening_Rush,Weekday,2.75,0.6,-6.6,75,43.48,"[231, 241, 210, 205, 288, 195, 234, 300, 232, 291]","[64.5, 62.2, 59.5, 74.1, 61.8, 71.2, 62.5, 74.1, 78.5, 59.1]",0
21,47,Roundabout,Commercial,Midday,Weekday,1.18,0.71,0.8,30,23.03,"[195, 288, 275, 288, 221, 349, 255, 189, 237, 189]","[35.0, 23.7, 29.5, 24.6, 23.9, 17.4, 30.0, 33.5, 22.4, 19.3]",0
19,11,T-Junction,Industrial,Morning_Rush,Weekday,4.39,0.8,4.9,45,40.35,"[290, 167, 310, 204, 194, 262, 198, 214, 267, 128]","[48.7, 40.7, 34.0, 35.4, 45.5, 43.5, 47.4, 37.1, 42.0, 42.6]",0
42,19,T-Junction,Commercial,Evening_Rush,Weekend,10.0,0.63,-10.4,45,94.07,"[669, 712, 528, 588, 538, 594, 669, 434, 710, 486]","[44.4, 43.5, 37.7, 33.7, 26.6, 22.9, 22.9, 15.8, 12.0, 10.9]",1
12,5,Roundabout,Residential,Morning_Rush,Weekday,0.39,0.88,-1.0,75,73.58,"[197, 263, 252, 249, 224, 221, 196, 274, 216, 298]","[66.4, 62.2, 66.3, 65.4, 72.5, 65.7, 66.1, 74.6, 70.0, 75.8]",0
22,19,4-Way,Industrial,Evening_Rush,Weekend,3.88,0.81,-2.8,75,13.81,"[312, 205, 299, 326, 326, 299, 298, 234, 208, 232]","[59.2, 74.2, 66.1, 74.0, 61.3, 72.9, 65.0, 61.1, 75.6, 73.0]",0
30,13,4-Way,Commercial,Morning_Rush,Weekend,0.13,0.83,-3.5,75,49.63,"[260, 251, 271, 259, 210, 229, 348, 383, 328, 273]","[65.8, 63.5, 63.8, 64.7, 78.3, 76.5, 71.2, 62.7, 72.0, 66.3]",0
25,40,4-Way,Residential,Morning_Rush,Weekday,7.44,0.33,1.9,30,98.66,"[384, 628, 515, 519, 574, 550, 596, 591, 412, 752]","[28.0, 25.4, 24.0, 21.8, 22.3, 17.2, 15.1, 11.9, 9.1, 6.6]",1
44,48,4-Way,Commercial,Midday,Weekday,0.0,0.87,5.6,45,55.18,"[153, 237, 308, 447, 189, 271, 221, 352, 182, 281]","[33.5, 38.9, 40.3, 45.8, 35.1, 43.8, 40.6, 41.9, 45.3, 34.1]",0
31,43,4-Way,Commercial,Midday,Weekend,0.15,0.83,-0.7,75,56.66,"[290, 221, 304, 266, 239, 220, 291, 313, 223, 193]","[71.0, 60.3, 61.0, 62.2, 65.4, 60.8, 57.8, 61.8, 70.7, 61.1]",0
20,0,T-Junction,Industrial,Morning_Rush,Weekday,3.36,0.81,1.0,75,51.75,"[232, 347, 247, 267, 202, 358, 222, 238, 315, 240]","[67.7, 66.1, 66.1, 69.4, 70.3, 64.3, 63.7, 64.5, 60.5, 59.5]",0
16,19,Roundabout,Commercial,Evening_Rush,Weekend,0.0,0.77,0.6,45,65.97,"[264, 296, 293, 130, 237, 194, 257, 229, 279, 249]","[31.0, 35.7, 40.5, 41.0, 33.5, 32.8, 40.8, 33.5, 32.2, 38.3]",0
28,21,Roundabout,Industrial,Morning_Rush,Weekday,0.04,0.81,0.0,60,18.25,"[225, 206, 214, 250, 213, 253, 230, 258, 293, 291]","[60.4, 58.2, 55.2, 51.8, 52.1, 49.6, 54.0, 57.5, 50.4, 53.8]",0
28,39,Roundabout,Residential,Evening_Rush,Weekday,3.0,0.85,-5.4,30,12.28,"[216, 260, 222, 213, 216, 275, 245, 228, 263, 229]","[32.6, 22.1, 26.1, 20.0, 25.3, 18.6, 30.7, 30.8, 30.9, 27.1]",0
47,30,T-Junction,Commercial,Evening_Rush,Weekend,1.91,0.83,5.5,60,39.87,"[206, 209, 326, 321, 256, 224, 318, 215, 261, 317]","[49.8, 58.1, 56.6, 53.8, 49.0, 50.4, 55.4, 46.9, 54.7, 56.7]",0
21,30,Highway-Exit,Commercial,Midday,Weekday,6.98,0.84,1.5,75,0.0,"[299, 180, 315, 334, 270, 198, 233, 247, 263, 251]","[68.9, 67.0, 68.8, 65.2, 65.8, 64.6, 77.1, 74.8, 70.3, 74.1]",0
48,27,Highway-Exit,Commercial,Morning_Rush,Weekday,7.54,0.47,2.0,30,90.78,"[679, 618, 449, 573, 566, 486, 451, 649, 632, 483]","[28.5, 29.7, 22.9, 22.3, 19.0, 17.7, 12.3, 11.5, 9.0, 6.5]",1
18,11,4-Way,Commercial,Midday,Weekday,1.26,0.83,-4.0,60,64.41,"[253, 267, 359, 378, 218, 134, 279, 259, 303, 264]","[54.3, 59.6, 60.3, 47.1, 49.9, 53.5, 54.5, 52.9, 56.2, 59.0]",0
13,15,Roundabout,Commercial,Midday,Weekday,4.11,0.74,-2.3,45,31.33,"[336, 278, 207, 242, 246, 275, 269, 352, 226, 269]","[52.3, 37.6, 41.2, 35.8, 40.9, 36.6, 45.7, 41.2, 35.8, 44.7]",0
38,32,4-Way,Commercial,Late_Night,Weekday,5.81,0.49,-0.9,75,96.04,"[617, 695, 485, 636, 677, 557, 474, 595, 722, 712]","[74.1, 65.8, 60.8, 54.1, 49.2, 41.5, 33.5, 30.5, 21.9, 15.9]",1
22,34,T-Junction,Commercial,Evening_Rush,Weekend,1.81,0.66,-7.7,30,38.55,"[163, 128, 178, 225, 278, 132, 329, 258, 318, 205]","[29.5, 27.4, 31.1, 25.8, 29.4, 32.5, 23.7, 28.2, 17.6, 30.5]",0
40,43,Roundabout,Residential,Midday,Weekday,0.01,0.69,-8.4,30,41.04,"[347, 187, 245, 294, 251, 258, 230, 228, 245, 252]","[21.1, 26.7, 34.8, 24.9, 20.8, 26.2, 23.4, 20.3, 27.7, 23.4]",0
1,3,Roundabout,Residential,Midday,Weekday,2.98,0.83,-3.0,30,42.54,"[218, 257, 173, 162, 283, 153, 201, 160, 225, 271]","[27.6, 39.0, 32.4, 22.3, 21.0, 40.5, 32.3, 29.9, 27.4, 28.4]",0
31,9,T-Junction,Residential,Late_Night,Weekday,2.65,0.85,2.6,30,51.16,"[175, 257, 253, 204, 223, 325, 243, 353, 162, 223]","[19.3, 21.0, 22.9, 28.6, 28.3, 23.6, 15.9, 34.4, 25.6, 21.4]",0
37,33,Highway-Exit,Commercial,Late_Night,Weekday,9.72,0.07,-3.3,75,82.31,"[627, 620, 567, 614, 484, 675, 500, 539, 664, 720]","[78.2, 70.4, 61.0, 51.9, 51.1, 44.4, 33.7, 30.2, 21.0, 18.0]",1
32,40,T-Junction,Commercial,Late_Night,Weekday,6.53,0.26,-5.1,75,84.24,"[548, 797, 678, 779, 553, 640, 503, 684, 689, 839]","[76.0, 69.8, 60.7, 56.1, 47.6, 41.9, 35.3, 27.6, 21.8, 14.2]",1
6,2,4-Way,Residential,Midday,Weekend,1.5,0.74,-4.1,45,48.92,"[231, 303, 258, 267, 177, 271, 276, 230, 354, 135]","[44.4, 44.1, 43.2, 41.4, 43.3, 44.8, 36.9, 42.0, 39.6, 35.0]",0
47,30,T-Junction,Commercial,Midday,Weekend,0.7,0.75,-2.3,45,27.86,"[285, 221, 175, 223, 210, 301, 257, 319, 216, 293]","[54.7, 42.3, 44.8, 44.0, 33.4, 43.4, 42.0, 39.2, 36.1, 44.0]",0
33,30,T-Junction,Commercial,Late_Night,Weekday,3.22,0.89,-1.8,45,66.7,"[201, 356, 255, 188, 224, 236, 370, 205, 244, 223]","[43.0, 37.9, 34.8, 39.5, 39.0, 37.5, 37.8, 46.4, 38.9, 34.8]",0
3,0,T-Junction,Industrial,Morning_Rush,Weekday,3.77,0.87,10.8,60,12.83,"[226, 252, 183, 331, 293, 321, 269, 145, 326, 206]","[50.1, 54.8, 60.9, 59.3, 58.5, 52.4, 52.4, 55.7, 53.3, 58.4]",0
22,4,T-Junction,Residential,Midday,Weekday,0.65,0.8,5.3,45,38.16,"[291, 279, 123, 256, 244, 258, 212, 183, 273, 232]","[43.4, 37.1, 47.6, 45.5, 42.0, 39.4, 44.8, 42.5, 41.7, 45.7]",0
19,4,Highway-Exit,Residential,Midday,Weekday,4.86,0.75,5.1,75,59.34,"[321, 187, 197, 210, 174, 246, 280, 248, 223, 306]","[68.2, 69.2, 73.3, 66.9, 77.8, 65.3, 77.5, 62.6, 70.1, 64.3]",0
21,1,Roundabout,Commercial,Midday,Weekday,0.0,0.67,5.8,60,25.54,"[305, 226, 264, 217, 296, 217, 334, 200, 182, 297]","[51.0, 54.0, 52.4, 47.4, 53.6, 60.3, 59.0, 55.2, 59.6, 48.7]",0
45,14,Roundabout,Residential,Midday,Weekday,1.84,0.94,-5.0,75,46.19,"[233, 269, 243, 237, 189, 145, 290, 262, 295, 228]","[63.9, 67.5, 71.8, 66.3, 71.5, 62.5, 66.7, 67.1, 73.6, 68.5]",0
28,0,T-Junction,Residential,Late_Night,Weekday,2.48,0.86,-6.1,60,50.87,"[337, 182, 256, 258, 281, 209, 334, 250, 195, 249]","[52.4, 67.9, 59.2, 54.2, 53.4, 58.8, 59.0, 39.4, 57.2, 54.1]",0
42,20,Highway-Exit,Residential,Late_Night,Weekday,7.72,0.29,-5.5,45,86.93,"[468, 688, 824, 655, 710, 780, 516, 414, 665, 575]","[42.3, 40.8, 38.5, 32.7, 27.4, 24.6, 21.0, 13.1, 12.7, 6.3]",1
40,36,Highway-Exit,Residential,Midday,Weekday,1.87,0.87,6.7,45,38.55,"[282, 171, 300, 229, 222, 264, 206, 263, 213, 222]","[42.5, 34.8, 34.2, 41.7, 40.4, 41.3, 42.1, 40.8, 43.5, 41.0]",0
36,6,Roundabout,Industrial,Morning_Rush,Weekend,6.74,0.79,-2.7,45,36.87,"[149, 162, 346, 250, 297, 232, 247, 227, 373, 262]","[37.8, 32.2, 50.4, 39.7, 44.2, 44.8, 38.2, 43.9, 37.5, 35.5]",0
2,10,4-Way,Residential,Morning_Rush,Weekday,1.3,0.77,-6.3,60,28.97,"[308, 242, 275, 270, 281, 172, 220, 233, 208, 271]","[59.9, 60.7, 52.3, 55.5, 56.2, 57.1, 49.6, 63.1, 58.6, 58.8]",0
21,25,Roundabout,Commercial,Midday,Weekday,7.88,0.84,-2.2,75,86.03,"[310, 276, 198, 243, 167, 270, 241, 247, 310, 227]","[66.2, 67.6, 58.3, 66.2, 55.1, 64.6, 71.8, 69.7, 64.5, 67.7]",0
19,41,4-Way,Residential,Midday,Weekday,3.87,0.73,-1.2,30,24.74,"[196, 249, 396, 342, 252, 258, 201, 209, 268, 223]","[31.5, 34.8, 28.7, 27.5, 18.6, 30.7, 21.3, 24.9, 31.8, 32.1]",0
24,1,T-Junction,Residential,Midday,Weekday,3.18,0.77,1.3,75,60.1,"[226, 229, 215, 190, 218, 169, 284, 269, 278, 202]","[61.5, 67.8, 67.8, 66.8, 66.1, 76.1, 69.6, 77.4, 73.8, 76.0]",0
33,29,Highway-Exit,Residential,Morning_Rush,Weekend,5.01,0.31,1.3,45,86.29,"[492, 659, 556, 433, 749, 570, 494, 558, 520, 530]","[44.6, 44.5, 35.7, 36.3, 30.7, 25.8, 22.5, 17.0, 15.6, 10.1]",1
41,13,Roundabout,Commercial,Morning_Rush,Weekday,8.06,0.75,-4.1,60,18.27,"[166, 264, 289, 235, 256, 219, 181, 172, 173, 283]","[41.5, 50.7, 50.2, 52.6, 44.7, 56.0, 47.6, 59.7, 50.9, 53.5]",0
28,4,Roundabout,Commercial,Midday,Weekday,1.01,0.87,3.4,60,42.06,"[250, 262, 251, 228, 267, 273, 211, 271, 309, 285]","[58.7, 54.9, 49.3, 50.0, 55.6, 58.7, 67.9, 58.9, 48.1, 50.2]",0
9,30,4-Way,Industrial,Late_Night,Weekday,0.76,0.99,-3.2,45,52.98,"[363, 239, 252, 201, 328, 275, 211, 200, 265, 252]","[44.7, 43.2, 39.2, 37.8, 39.7, 37.7, 39.8, 40.6, 36.0, 43.7]",0
38,47,T-Junction,Residential,Late_Night,Weekend,1.49,0.72,-0.8,60,58.41,"[231, 207, 232, 262, 254, 271, 294, 315, 264, 196]","[52.7, 49.0, 62.5, 63.9, 57.3, 58.3, 55.3, 55.8, 46.0, 53.6]",0
46,31,4-Way,Industrial,Evening_Rush,Weekday,8.22,0.37,3.4,45,97.97,"[511, 628, 594, 794, 691, 628, 573, 767, 597, 633]","[45.1, 40.2, 37.1, 29.1, 25.9, 25.7, 24.1, 17.7, 11.6, 6.1]",1
36,33,T-Junction,Residential,Midday,Weekday,0.0,0.6,-3.2,75,98.9,"[289, 221, 282, 269, 273, 251, 269, 244, 218, 201]","[55.6, 66.6, 75.1, 71.2, 68.6, 63.8, 72.5, 66.9, 75.4, 62.6]",0
39,9,4-Way,Residential,Late_Night,Weekday,3.04,0.78,-2.8,60,45.01,"[212, 207, 175, 203, 255, 214, 57, 303, 165, 279]","[54.2, 64.6, 59.0, 51.5, 50.5, 61.5, 46.6, 55.0, 53.3, 52.3]",0
49,30,T-Junction,Residential,Morning_Rush,Weekday,6.39,0.73,3.0,30,26.74,"[267, 259, 272, 256, 270, 254, 217, 250, 214, 210]","[25.3, 26.4, 27.2, 31.6, 24.5, 28.0, 27.6, 24.0, 27.4, 32.0]",0
19,26,Roundabout,Industrial,Evening_Rush,Weekday,3.3,0.82,-4.3,60,49.06,"[259, 261, 214, 348, 217, 166, 293, 244, 234, 222]","[63.4, 55.8, 56.7, 54.8, 55.4, 61.0, 52.7, 46.7, 58.3, 56.5]",0
37,17,4-Way,Residential,Late_Night,Weekday,2.41,0.81,-1.9,45,34.68,"[255, 273, 231, 251, 243, 220, 309, 179, 368, 293]","[31.6, 39.4, 39.7, 42.5, 35.6, 40.7, 39.9, 36.8, 36.1, 45.1]",0
22,4,4-Way,Residential,Morning_Rush,Weekday,1.76,0.64,2.8,30,58.52,"[165, 273, 289, 239, 252, 308, 214, 219, 225, 308]","[33.5, 20.0, 32.0, 31.1, 34.8, 28.9, 26.8, 32.7, 30.5, 38.2]",0
10,16,T-Junction,Commercial,Morning_Rush,Weekend,4.8,0.62,10.3,45,14.06,"[297, 257, 191, 220, 178, 239, 296, 249, 301, 266]","[38.5, 40.9, 42.9, 41.2, 41.3, 36.7, 38.3, 51.8, 46.6, 33.1]",0
7,10,Highway-Exit,Commercial,Late_Night,Weekday,1.35,0.83,3.0,60,87.37,"[131, 253, 294, 224, 301, 252, 241, 287, 223, 235]","[57.4, 53.8, 63.5, 57.5, 57.1, 53.8, 58.4, 52.4, 55.4, 49.4]",0
28,4,Roundabout,Residential,Midday,Weekday,6.69,0.81,2.4,30,57.12,"[301, 264, 349, 369, 288, 253, 202, 295, 260, 276]","[35.6, 22.9, 22.4, 25.8, 31.1, 29.8, 22.5, 30.8, 21.0, 22.8]",0
35,37,Roundabout,Commercial,Morning_Rush,Weekday,6.87,0.76,2.7,30,6.32,"[244, 222, 294, 264, 338, 237, 243, 310, 245, 324]","[29.7, 15.2, 32.9, 31.6, 31.8, 17.4, 23.7, 24.1, 22.8, 35.7]",0
24,47,T-Junction,Commercial,Midday,Weekend,3.51,0.63,-5.4,60,25.82,"[249, 248, 277, 278, 83, 217, 179, 270, 235, 250]","[43.6, 52.5, 59.6, 61.0, 57.6, 47.3, 60.3, 57.6, 53.4, 43.9]",0
38,36,Roundabout,Commercial,Midday,Weekday,2.98,0.85,0.6,30,56.32,"[297, 220, 267, 253, 326, 243, 249, 328, 217, 290]","[26.0, 22.0, 27.0, 30.5, 33.8, 34.4, 25.5, 22.1, 25.4, 21.1]",0
33,20,4-Way,Commercial,Midday,Weekend,5.06,0.93,-0.1,75,63.53,"[239, 232, 286, 139, 213, 213, 309, 194, 261, 243]","[72.7, 70.5, 68.1, 64.7, 58.2, 68.7, 70.2, 59.6, 61.3, 68.8]",0
46,23,Roundabout,Commercial,Evening_Rush,Weekday,5.19,0.83,1.6,30,14.56,"[266, 200, 221, 158, 318, 185, 277, 248, 314, 210]","[27.3, 18.5, 17.3, 30.0, 18.1, 25.9, 32.1, 30.7, 23.7, 19.1]",0
